dwell_time_in_seconds,preds
2.0,36139474936550.86
189.0,11504809556168.383
49.0,24808393038596.64
22.0,-748205460987.6283
35.0,6182036781705.029
70.0,-3700339579224.974
53.0,13318594193269.607
26.0,16287138420976.912
8.0,22061950762876.164
120.0,7284197992438.481
38.0,9581605205515.252
59.0,11501657922516.63
13.0,69478004838617.6
24.0,13618726813620.686
29.0,11424604822888.176
25.0,4530880668428.184
263.0,-4522642017280.175
32.0,16944780696700.662
18.0,3710763137905.4927
33.0,18180012833947.258
72.0,7520166790788.005
25.0,7574315476459.354
15.0,106566333172863.89
15.0,119667129492421.38
167.0,120973478092220.62
45.0,132165263055588.94
30.0,101766579782016.62
15.0,121941336793411.72
15.0,123487074525358.17
75.0,111798409138529.69
38.0,109244922400711.44
45.0,97605142644207.88
15.0,151907746134137.88
45.0,98397329741069.25
90.0,114430302029607.06
30.0,98712935260966.31
15.0,89920844178014.27
30.0,80502129963283.19
45.0,96322460701596.61
307.0,96463128231489.9
113.0,22118024131095.37
53.0,58362355881040.664
26.0,52271794912990.4
91.0,23421668980620.79
168.0,46371145614182.66
88.0,22242923864864.094
21.0,15598510285026.988
42.0,-2054428290848.5273
30.0,31379980365006.43
18.0,24795301209245.22
28.0,24383167285548.32
83.0,29695905583378.977
34.0,20668878456329.543
47.0,38134540265140.016
13.0,121449824888361.75
9.0,58297989136511.53
96.0,55831390702271.86
210.0,77871449234416.69
35.0,64004883697814.3
19.0,38238678976979.12
29.0,34084873847891.12
6.0,45640267751013.08
9.0,43251810555520.8
6.0,45632580197921.53
44.0,38187994747496.914
20.0,36683201603069.086
97.0,139436644161003.1
20.0,193589092776401.03
48.0,140673181472038.7
72.0,163764191603461.12
47.0,132543599093793.27
17.0,135382570707623.61
25.0,129378245136099.28
27.0,147995037113596.75
20.0,140630995836767.31
65.0,137384833115048.8
27.0,18623277446452.773
22.0,34192919455142.61
11.0,60423385693418.86
4.0,38543348980307.266
26.0,18807480880559.27
70.0,30074407379294.87
33.0,21877224314850.293
24.0,14357416044815.39
37.0,8222378429761.644
16.0,19439531724040.836
12.0,22027927336580.273
21.0,17355812840323.44
22.0,17399513275682.354
57.0,3655217916150.4165
8.0,17821058485521.01
7.0,93242972893903.0
23.0,5745113547900.094
31.0,19356582965594.332
69.0,3791294295806.775
21.0,-3135929948507.351
16.0,14941009183411.23
10.0,16670966839883.03
72.0,14087789768699.168
