,date,arrival_time_in_seconds,year,month,day
146,2022-07-06,37648,2022,7,6
147,2022-07-08,37735,2022,7,8
148,2022-07-11,37030,2022,7,11
149,2022-07-12,37075,2022,7,12
150,2022-07-14,38827,2022,7,14
151,2022-07-15,39340,2022,7,15
152,2022-07-18,38898,2022,7,18
153,2022-07-20,38909,2022,7,20
154,2022-07-22,39519,2022,7,22
155,2022-07-26,38245,2022,7,26
156,2022-07-28,37192,2022,7,28
157,2022-07-29,38216,2022,7,29
158,2022-08-01,39543,2022,8,1
159,2022-08-02,36008,2022,8,2
160,2022-08-08,37064,2022,8,8
161,2022-08-16,36449,2022,8,16
162,2022-08-17,38878,2022,8,17
163,2022-08-18,38343,2022,8,18
164,2022-08-22,37124,2022,8,22
165,2022-08-23,37649,2022,8,23
166,2022-08-24,37604,2022,8,24
167,2022-09-01,37168,2022,9,1
168,2022-09-02,36487,2022,9,2
169,2022-09-03,37459,2022,9,3
170,2022-09-04,38284,2022,9,4
171,2022-09-05,37732,2022,9,5
172,2022-09-06,37421,2022,9,6
173,2022-09-07,38895,2022,9,7
174,2022-09-08,38518,2022,9,8
175,2022-09-09,37660,2022,9,9
176,2022-09-10,36579,2022,9,10
177,2022-09-12,38326,2022,9,12
178,2022-09-13,38460,2022,9,13
179,2022-09-14,37234,2022,9,14
180,2022-09-15,36496,2022,9,15
181,2022-09-16,37930,2022,9,16
182,2022-09-17,38813,2022,9,17
183,2022-09-18,37608,2022,9,18
184,2022-09-19,38079,2022,9,19
185,2022-09-20,37577,2022,9,20
186,2022-09-21,38212,2022,9,21
187,2022-09-22,37297,2022,9,22
188,2022-09-23,37674,2022,9,23
189,2022-09-24,38295,2022,9,24
190,2022-09-25,36951,2022,9,25
191,2022-09-26,37637,2022,9,26
192,2022-09-27,37661,2022,9,27
193,2022-09-28,36359,2022,9,28
194,2022-09-29,37313,2022,9,29
195,2022-09-30,37693,2022,9,30
196,2022-10-01,39106,2022,10,1
197,2022-10-03,38160,2022,10,3
198,2022-10-04,38594,2022,10,4
199,2022-10-05,36968,2022,10,5
200,2022-10-06,39163,2022,10,6
201,2022-10-07,36401,2022,10,7
202,2022-10-08,39535,2022,10,8
203,2022-10-09,37068,2022,10,9
204,2022-10-11,38434,2022,10,11
205,2022-10-12,38226,2022,10,12
206,2022-10-13,39348,2022,10,13
207,2022-10-14,38209,2022,10,14
208,2022-10-15,37022,2022,10,15
209,2022-10-16,37315,2022,10,16
210,2022-10-17,38212,2022,10,17
211,2022-10-18,37655,2022,10,18
212,2022-10-19,37398,2022,10,19
213,2022-10-20,37684,2022,10,20
214,2022-10-21,38057,2022,10,21
215,2022-10-22,38881,2022,10,22
216,2022-10-23,37016,2022,10,23
217,2022-10-24,38461,2022,10,24
218,2022-10-25,38526,2022,10,25
219,2022-10-26,37313,2022,10,26
220,2022-10-27,37598,2022,10,27
221,2022-10-28,37379,2022,10,28
222,2022-10-29,37638,2022,10,29
223,2022-10-31,38806,2022,10,31
224,2022-11-01,37772,2022,11,1
